UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Oliver Neuroth,@ONeuroth,2020-04-02T11:17:41.000Z,"Andorra hat eine #exitstrategy: Die Regierung will die gesamte Bevölkerung auf das #Coronavirus testen, Infizierte isolieren und dann schnell zur Normalität zurückkehren. Gut, Andorra hat gerade einmal 77.000 Einwohner... #COVID19","Diari d'Andorra
@diariandorra
 · 2. Apr. 2020
El Govern vol iniciar els tests d'anticossos a tota la població en dues setmanes #coronavirus #quedatacasa #covid19 @GovernAndorra @saasandorra http://ow.ly/oNAE30quEgr",,,3,12,"['https://pbs.twimg.com/profile_images/1268435719246303234/o7F6LZYe_mini.jpg', 'https://pbs.twimg.com/media/EUlrPDeUEAIdn9g?format=jpg&name=small']",https://twitter.com/ONeuroth/status/1245671743743832064
𝔈𝔩𝔩𝔦 𝔘𝔣𝔣𝔫𝔦𝔨,@lovesbeerhnzs,2020-04-02T10:02:02.000Z,"Ufff, das mit Corona wird nen Marathon! #CoronaUpdate #StaySafeStayHome #Covid_19
https://youtu.be/3z0gnXgK8Do",,,,,,[],https://twitter.com/lovesbeerhnzs/status/1245652704757575681
CORPORATE KITCHEN®,@cdebruijn,2020-04-02T16:27:31.000Z,"Außergewöhnliche Zeiten erfordern ungewöhnliche Maßnahmen: So kann auch eine #schlafmaske zur #schutzmaske werden. Meine Idee wurde ärztlich für ""sinnvoll"" befunden & vielleicht ist es ja was für Euch. Not macht erfinderisch... #Covid_19 #stayathome #flattenthecurve #bleibtgesund",,,,,4,['https://pbs.twimg.com/ext_tw_video_thumb/1245749614759809025/pu/img/nuQAyd4yJRszo0M6.jpg'],https://twitter.com/cdebruijn/status/1245749713795678210
Sep PietSmiet #FF6,@SepPietsmiet,2020-04-02T19:59:51.000Z,"Noch nie habe ich mich über 1.000.000 weniger gefreut als jetzt.. #COVID19

Irgendwie geht es im Moment weltweit viel zu schnell.. #StayAtHome",,🔥,8,5,527,[],https://twitter.com/SepPietsmiet/status/1245803150717698050
Sep PietSmiet #FF6,@SepPietsmiet,2020-04-02T05:50:39.000Z,"Ohne Witz, in der momentanen Lage bin ich irgendwie froh, dass gestern die Aprilscherze eher mau waren.. 

Viele Sachen zum Thema #Covid19 hätten bei einigen eher Panik hervorgerufen statt einem Lacher.",,🔥 👍,5,1,481,[],https://twitter.com/SepPietsmiet/status/1245589439658651651
Muhsin Ibrahim,@muhsin234,2020-04-02T11:16:53.000Z,"COVID-19: It takes days for the test results of governors & other privileged persons to be known. Several others don't even get tested. I'm afraid to say that the number of coronavirus cases in Nigeria does not reflect the reality on the ground. Be careful. May God save us, amin.",,,6,15,55,[],https://twitter.com/muhsin234/status/1245671540865282049
Hamza BEKRI,@hamzathegunner,2020-04-02T02:14:43.000Z,"#Beard_Shaving_Challenge 
Make it alone,there is no Barbershop open  in this days because #COVID19  so do it alone ,without hurting yourself. ","0:25
98 Mal angezeigt",💪,,1,2,['https://pbs.twimg.com/ext_tw_video_thumb/1245535028911751168/pu/img/WPODs6orK7EaOTNe.jpg'],https://twitter.com/hamzathegunner/status/1245535099438927873
Kai Fiedler,@kai_fiedler,2020-04-03T16:34:01.000Z,"Neuer Artikel: Wie funktionieren Antikörpertests? Mit Erklärungen zu #ELISA und #Schnelltest|s. Natürlich auch zum Nachhören als Podcast!  Viel Spaß! http://kaifiedler.de/antikoerpertests… 
#Coronakrise #COVID19 #antikoerpertest","""Corona-Test 2.0“ – Wie funktionieren Antikörpertests?
Der momentan verfügbare Test auf eine Infektion mit dem neuartigen Coronavirus SARS-CoV-2 basiert auf der Polymerase-Kettenreaktion. Obwohl diese Methode sehr präzise funktioniert, können nur frisch...
kaifiedler.de",🎧,,3,9,['https://pbs.twimg.com/card_img/1395568883906527236/NHbR33Ei?format=jpg&name=small'],https://twitter.com/kai_fiedler/status/1246113737410408448
Mirjam Jansen,@medmedia_koeln,2020-04-03T23:49:48.000Z,"Wer live dabei sein möchte, folgt dem Link zur Registrierung.  #digitalhealth #livetalk #COVID19","medtoday Germany
@medtodaygermany
 · 3. Apr. 2020
Save the Date Mittwoch, 8. April um 18 Uhr findet eine Expertendiskussion zum Thema „Corona Virus & #Cancer Care – Was müssen wir beachten?“ statt. Seien Sie live dabei, wenn 7 Top-Experten zur aktuellen Situation diskutieren. Zur Registrierung https://bit.ly/3dNWBzs #covid19",❗,,,2,"['https://pbs.twimg.com/profile_images/1388122401058299904/q8IyBy3f_mini.jpg', 'https://pbs.twimg.com/media/EUsQAbrX0AA0rSi?format=jpg&name=small']",https://twitter.com/medmedia_koeln/status/1246223407739527170
Robert,@queerdenkersach,2020-04-03T21:34:38.000Z,"Ich bin glücklich.  Bitte ganz langsam auf der Zunge zergehen lassen. 

#fucking #covid_19 #quarantine #longdistancerelationship 

.
.
.
#spreadlove #selflove #gaycologne #cologne #gaysofinstagram #gaystagram… https://instagram.com/p/B-iLLiXIB_h/?igshid=1dfsrrn3flhe7…",,,,,2,[],https://twitter.com/queerdenkersach/status/1246189391300554752
Oliver Neuroth,@ONeuroth,2020-04-03T08:08:47.000Z,Spanien hat - umgerechnet auf die Einwohnerzahl - zehn Mal mehr Corona-Todesfälle als das Nachbarland #Portugal. Ein Grund: Die Regierung in Lissabon hat deutlich früher das öffentliche Leben eingeschränkt. #Coronakrise #COVID19,"Aktuelle Nachrichten - Inland Ausland Wirtschaft Kultur Sport - ARD Tagesschau
tagesschau.de",,,14,27,['https://pbs.twimg.com/card_img/1395480911081185280/xOG4Glan?format=png&name=small'],https://twitter.com/ONeuroth/status/1245986590964551680
Georgios Matis,@GeorgiosMatis,2020-04-03T09:45:40.000Z,Guidance on the Management of #ClinicalTrials during the #COVID-19 (#Coronavirus) pandemic 1/3,,,1,,2,"['https://pbs.twimg.com/media/EUq4WBWU8AAbCvm?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUq4WBVUYAISiWy?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUq4WBQUwAE9KNV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUq4WBRVAAALWDZ?format=jpg&name=360x360']",https://twitter.com/GeorgiosMatis/status/1246010973212770307
Shiv Ranjan,@ShivRanjanIND,2020-04-03T13:04:24.000Z,"Covid-19 in India: Common, staggered lockdown exit plan needed, says PM Modi
https://timesofindia.indiatimes.com/india/common-staggered-lockdown-exit-plan-needed-pm-modi/articleshow/74958033.cms…

via NaMo App",,,,,,['https://pbs.twimg.com/media/EUrl2wFVAAAb49O?format=jpg&name=900x900'],https://twitter.com/ShivRanjanIND/status/1246060986169204742
Rachel Stewart,@RachelStewart04,2020-04-03T08:11:27.000Z,"Top tip #COVID19 : use your dry, chapped hands as a natural exfoliator for the rest of your body ",,✅,2,5,47,[],https://twitter.com/RachelStewart04/status/1245987261549854720
Rachel Stewart,@RachelStewart04,2020-04-03T14:52:24.000Z,Why is asparagus a priority in Germany’s #COVID19 response? Here’s a helpful poem to get you up to speed  https://youtu.be/blpDsXU7s4k #spargelernte #spargel,"Asparagus: A love poem for Germany's favorite vegetable | Meet the...
Asparagus festivals, asparagus queens, asparagus pizza... the Germans are never happier than when asparagus season rolls around. Meet the Germans presenter R...
youtube.com",👉,4,7,21,[],https://twitter.com/RachelStewart04/status/1246088164416065536
Julia Hiltscher,@JuliaHiltscher,2020-04-03T17:22:41.000Z,"Thank you 
@ClaraBrandi
 for these insights on the climate change goals in correlation with COVID-19! 

https://blogs.die-gdi.de/2020/04/02/curb-your-enthusiasm-corona-may-slow-down-multilateral-process-but-must-not-derail-global-climate-policy/…",,,,,1,['https://pbs.twimg.com/media/EUsg99FXQAcm94p?format=jpg&name=medium'],https://twitter.com/JuliaHiltscher/status/1246125984723722243
Emek Ersoysal,@EmekErsoysal,2020-04-03T22:23:35.000Z,"Herr 
@GregorGysi
, in Euskirchen ist in einer Flüchtlings lager wurden mehr als Hunderte menschen mit Covid infiziert worden. Die Covid Infizierte können ihre Stimme nicht an die Behörden wie  
@BAMF_Dialog
 ankündigen. Bitte um sofortige Hilfe",,,,1,,[],https://twitter.com/EmekErsoysal/status/1246201711221518336
Christoph Schulte-Richtering,@ChristophSchuRi,2020-04-04T07:51:09.000Z,"Vorschlag „Virologen-Quartett“ für die freie Zeit: Mit den jeweiligen Prognosen ‚Länge Shutdown’, ‚Anzahl der Infizierten‘, ‚Mindestabstand’. Mit Kekulé, Drosten und natürlich dem Blitztrumpf Wodarg! #corona #covid19 #pandemie #masken #CoronaZeit",,,1,,2,[],https://twitter.com/ChristophSchuRi/status/1246344540484767749
Arunava Chaudhuri | arunfoot,@Arunfoot,2020-04-04T11:22:47.000Z,"platzheld_rs is a new #campaign in #Remscheid which has my support! It aims to support local businesses in times of #Coronavirus. 

#MeinRemscheid #MyRemscheid #Platzhelden #Löwenherzen #covid #arunfoot #heimat… https://instagram.com/p/B-jp9Whlhf7/?igshid=sfmd78rzjo6l…",,,,,,[],https://twitter.com/Arunfoot/status/1246397799916285953
Rocio Watzlawik Paglialunga,@RoWatzlawik,2020-04-04T17:38:23.000Z,"Yo demasiado queria vivir la primavera en  y en teoría en este viaje no iba a poder, pero como dicen, no hay mal que por bien no venga... Gracias a quedarnos acá por culpa del COVID-19 ya la estoy viviendo ",,🌷 🌲,,,7,"['https://pbs.twimg.com/media/EUxuIBkXQAAmr8X?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUxuJfbWkAElKN5?format=jpg&name=360x360']",https://twitter.com/RoWatzlawik/status/1246492324135342080
BENOS ANGAKA BONYOMA,@ANGAKABENOS,2020-04-04T16:03:11.000Z,"PAS DE VACCIN EMPOISONNÉ EN AFRIQUE,SOUS PRÉTEXTE VACCIN CONTRE COVID-19.L'Africain ne se laissera plus jamais dupé,c'est fini ce temps où 1 seul hoe pouvait décider sur le sort de tout 1 peuple. Qu'on fasse les essais cliniques là où on les a fabriqué.
https://m.facebook.com/story.php?story_fbid=245248200183686&id=110169843691523…",,👉,,,,['https://pbs.twimg.com/media/EUxYXWcWkAAc7l4?format=jpg&name=medium'],https://twitter.com/ANGAKABENOS/status/1246468364928716800
BENOS ANGAKA BONYOMA,@ANGAKABENOS,2020-04-04T13:37:32.000Z,"Voici le Prof. Dr. Vangu LUTETE le DG/ISTME une des preuves que la RD.CONGO est capable de faire face seule à cette crise de COVID-19. Négligé cette expertise disponible et vouloir faire de la RD.CONGO, cobaye des Occidentaux, serait simplement de la HAUTE TRAHISON. ","2:20
42 Mal angezeigt",👇 👇 👇 👇,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1246431644703232000/pu/img/jBNtSCYn8-bYULKa.jpg'],https://twitter.com/ANGAKABENOS/status/1246431712302825472
Oliver Neuroth,@ONeuroth,2020-04-05T14:10:11.000Z,"Signale der Entspannung in #Spanien: Den dritten Tag in Folge sinkt die Zahl der neuen Todesfälle im Zusammenhang mit #Covid19. Regierungschef Sánchez fordert einen Marshallplan, um die Wirtschaft wieder aufzubauen.","Aktuelle Nachrichten - Inland Ausland Wirtschaft Kultur Sport - ARD Tagesschau
tagesschau.de",,,1,7,['https://pbs.twimg.com/card_img/1395480911081185280/xOG4Glan?format=png&name=small'],https://twitter.com/ONeuroth/status/1246802316927348736
Joas Scholz,@JoasScholz,2020-04-05T08:44:16.000Z,"DANGEROUS 

By looking only on CoronaCrisis we do not look to all other problems 

the learn by covid-19 for all other parts of the EarthSystemCrisis how to act better 

#COVID2019 #ClimateEmergency",,,,1,1,"['https://pbs.twimg.com/media/EU09fPsXkAAD4z1?format=jpg&name=small', 'https://pbs.twimg.com/media/EU09fPtX0Ac9GIa?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EU09fPrXgAAkfLP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EU09fbPXQAABYZH?format=jpg&name=360x360']",https://twitter.com/JoasScholz/status/1246720295450312705
June Gbadamosi,@sheisJunene,2020-04-05T11:45:29.000Z,"It's another Sunday, A Palm Sunday! This is not how we planned it.
#COVID19",,,,,1,[],https://twitter.com/sheisJunene/status/1246765900243636225
Daniel Rottlaender,@RottiAtHome,2020-04-05T12:25:47.000Z,"Hey 
@disneyplus
, wenn will #TheWeekenders be available? My quarantined self is waiting for it lol! #COVID19",,,,,2,[],https://twitter.com/RottiAtHome/status/1246776043895169024
Julia Hiltscher,@JuliaHiltscher,2020-04-05T21:12:13.000Z,"I made Mad Max Fury Road inspired Covid masks with little flowers and dolphins. We only use them in crowded spaces e.g. road fights in deserts, toilet paper shopping...",,,1,,7,['https://pbs.twimg.com/media/EU3orqkWoAEP7lM?format=jpg&name=900x900'],https://twitter.com/JuliaHiltscher/status/1246908523415568388
Julia Nikoláeva,@juliefromspb,2020-04-06T09:05:41.000Z,"Was soll das? 
„In China soll INFrec bei COVID-19 geholfen haben. Deshalb will ein Unternehmer es nach Deutschland einführen. Eine Ladung steht bereit, doch bisher darf er sie nicht einführen. Nun verhandelt er mit einem anderen Land.“
#Corona #COVID19","In China erfolgreich eingesetzt: Deutsche Firma will Corona-Medikament aus Kuba importieren
In China soll INFrec bei COVID-19 geholfen haben. Deshalb will ein Unternehmer es nach Deutschland einführen. Eine Ladung steht bereit, doch bisher darf er sie nicht einführen. Nun verhandelt er mit...
focus.de",,6,8,21,['https://pbs.twimg.com/card_img/1397468006733778945/vFubZp7g?format=jpg&name=small'],https://twitter.com/juliefromspb/status/1247088072954720256
CORPORATE KITCHEN®,@cdebruijn,2020-04-06T16:46:25.000Z," Vielen Dank 
@conradbreyer
 @wuv
 für den Beitrag - eine schöne Sache da bei 
@denkwerk
, Serverkapazität für #Covid_19 Forschungszwecke zu spenden  Wäre doch großartig, wenn da noch weitere Agenturen folgen würden! #corporatekitchen #kundenliebe #StayAtHome #wirhaltenzusammen","denkwerk
@denkwerk
 · 6. Apr. 2020
Unser Technical Solutions Architect Harald hat auf unseren internen Virtualisierungsumgebungen gleich 5 Linux-Maschinen bereitgestellt: Mit der Rechenleistung unterstützen wir Forschungseinrichtungen bei der Suche nach einem Impfstoff gegen #Covid19 https://bit.ly/3dZxSIv @wuv",❤,,,5,"['https://pbs.twimg.com/profile_images/1039458270971392000/OhSwZANS_mini.jpg', 'https://pbs.twimg.com/media/EU7yxOjWkAAu3og?format=jpg&name=small']",https://twitter.com/cdebruijn/status/1247204022999801858
Hevante,@HevanteX,2020-04-06T15:16:42.000Z,"So ihr pisser mit euren scheiß Hamsterkäufen: Ich wollt endlich mal wieder richtig geile Burger kochen und was fehlt: Das Fleisch. Das kann nur von euch hamstern ausverkauft sein

Ich werde euch dafür hassen 
#coronavirus #COVID19 #Hamsterkaeufe",,😐,2,,3,['https://pbs.twimg.com/media/EU7g544X0AUCkAk?format=jpg&name=900x900'],https://twitter.com/HevanteX/status/1247181445627551745
Hendrik Neumann,@armselig,2020-04-06T11:07:16.000Z,"Mein Sohn kommt im Sommer zur Welt. Ziehe mittlerweile ""Covid"" und/oder ""Trockenhefe"" als Vornamen in Betracht. Man hat ja auch eine historische Verantwortung.",,,1,,3,[],https://twitter.com/armselig/status/1247118672520495104
Franz-Josef Baldus,@snackcontent_de,2020-04-06T10:45:13.000Z,"Ein weiterer Erklärvideo-Snack von uns für 
@germandoctors
 - mit Verhaltenstipp für diejenigen unter euch, die sich krank fühlen und eine #Covid19 Ansteckung befürchten. #SnackContent","German Doctors e.V.
@germandoctors
 · 6. Apr. 2020
Sie fühlen sich krank und fürchten, sich mit dem #Coronavirus infiziert zu haben? Die @germandoctors  zeigen in diesem Video, worauf Sie achten müssen und wie Sie sich verhalten sollten, bis die Diagnose gesichert ist.",,,,,"['https://pbs.twimg.com/profile_images/881785783954309120/Jw5KE33K_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1247110114810740736/pu/img/piaWFlGzDQX9bo-N.jpg']",https://twitter.com/snackcontent_de/status/1247113123238207488
Shiv Ranjan,@ShivRanjanIND,2020-04-06T13:53:00.000Z,"Lights Out: Millions of candles ignite across India as show of solidarity to beat COVID-19 darkness
https://dnaindia.com/india/photo-gallery-lights-out-millions-of-candles-ignite-across-india-as-show-of-solidarity-to-beat-covid-19-darkness-2819825…

via NaMo App",,,,,,['https://pbs.twimg.com/media/EU7NwFaUMAAC-Ek?format=jpg&name=900x900'],https://twitter.com/ShivRanjanIND/status/1247160380696207361
Abdul Aisha,@abdulaisha13,2020-04-06T19:54:57.000Z,"#coronavirusdeutschland 
#Covid_19 #Deutschland",,,,,6,['https://pbs.twimg.com/media/EU8gmT0XYAAB4jk?format=jpg&name=small'],https://twitter.com/abdulaisha13/status/1247251469528641539
Zafer Güzel,@ZaferGz26309609,2020-04-06T20:01:36.000Z,Haha covid-19 hasarlari ,"Güliz Özpınar
@Leona_GS
 · 6. Apr. 2020
Bu neyin kafası kardeş?
0:25
61.083 Mal angezeigt",🤣,,,1,"['https://pbs.twimg.com/profile_images/1397176330580545539/WaEmQEaY_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1246492019972804613/pu/img/MRKwCJ4itlmFwR7-.jpg']",https://twitter.com/ZaferGz26309609/status/1247253143638941697
(((Andy Artmann))),@artbap,2020-04-07T23:28:58.000Z,"#FakeNews: Die Schäbigen, die Tödlichen und die Saudummen … #CoVid #Corona #covid19 https://tagesspiegel.de/themen/reportage/verschwoerungstheorien-zum-coronavirus-die-schaebigen-die-toedlichen-und-die-saudummen/25716306.html…",,,,,1,[],https://twitter.com/artbap/status/1247667714954604544
Kliniken Köln,@KlinikenKoeln,2020-04-07T09:04:16.000Z,"Herzlichen #Dank  an #pergaplastic für die 4.200 Schutzfolien, die ihr uns innerhalb kürzester Zeit zur Verfügung gestellt habt. #Rekordverdächtig! Die Folie kommt bei der #Intubation von #Covid-19-Patienten im #OP, #Schockraum und den #Intensivstationen zum Einsatz.",,🤝,,1,15,['https://pbs.twimg.com/media/EU_VQR1WkAER4SQ?format=jpg&name=small'],https://twitter.com/KlinikenKoeln/status/1247450104337960962
RenéL,@raennes_l,2020-04-07T12:21:24.000Z,Also manchmal.. hab gerade jmnd gesehen der seine Schutzmaske im Nacken! hatte dafür vorne ne kippe im Mund. Muss ich das verstehen? #COVID19 #coronavirus,,,3,,1,[],https://twitter.com/raennes_l/status/1247499716889362432
Mein Hundeland,@Hundeland,2020-04-07T17:07:26.000Z,"Ergänzung: Das setzt dem Ganzen die Krone auf! Das Institut auf das sich die Stadt Solingen die ganze Zeit bezieht, stellt eindeutig klar, das Hunde nicht Überträger von Covid-19 sind!","Auf Ostsee-Insel werden Tiere mit Covid-19 infiziert - jetzt gibt es erste Ergebnisse - Video
Auf der kleinen Insel Riems im Südwesten des Greifswalder Boddens führt seit mehreren Wochen das Friedlich-Loeffler-Institut (FLI) Tierversuche mit Covid-19 durch. Ziel ist es, das aus dem Tierreich...
focus.de",,,,,[],https://twitter.com/Hundeland/status/1247571697236140032
Oliver Stolz,@Stolz_Ohligs,2020-04-07T19:36:02.000Z,"#Fußball ist ein großer gemeinsamer Nenner unserer Gesellschaft, manchmal sogar eine Art Kitt. Für viele Menschen ist das wichtiger denn je, die können nicht ohne. Vielleicht ein leiser Grund, nicht sofort kategorisch alles abzulehnen. #Bundesliga #corona #COVID19 #coronavirus ",,⚓ 🦠,,,,[],https://twitter.com/Stolz_Ohligs/status/1247609095923871747
Karsten Be,@crizcgn,2020-04-07T16:52:52.000Z,"Offener Brief an die #COVID19 #Verschwörungstheoretiker, verfasst vom 
@AnkerherzVerlag
. 

PS Dass die Regierung alles dicht macht um heimlich Horden an Killer-#Flüchtlinge einzuschleusen ist auch ... Warum tun Internet Kommentatoren sowas ???  ",,🥺,,,1,['https://pbs.twimg.com/media/EVBAgE7XsAIuw8b?format=jpg&name=medium'],https://twitter.com/crizcgn/status/1247568035113730049
Kerstin Bücker,@KerstinBucker,2020-04-07T05:41:04.000Z,Home can be the most dangerous place for women and girls. Let‘s join forces facing the #COVID19 crisis to protect them and #EndViolence! #ForEveryChild,"United Nations SRSG on Violence against Children
@UN_EndViolence
 · 6. Apr. 2020
During this #COVID19 crisis many women and girls around the world are experiencing violence within their circle of trust.

I join the appeal of the @UN SG @antonioguterres for an end to violence everywhere now, including at home where women and girls should be safest. twitter.com/antonioguterre…",,,1,3,['https://pbs.twimg.com/profile_images/1135552470686588928/tPmJg-fK_mini.jpg'],https://twitter.com/KerstinBucker/status/1247398967786254342
Laura Petrescu,@laura_petrescu,2020-04-07T06:17:51.000Z,"""Hmm, what will I do today with this newly found spare time?"" #lockdowneffect #COVID19",,,,,,['https://pbs.twimg.com/media/EU-vKNgXkAAW4z2?format=jpg&name=small'],https://twitter.com/laura_petrescu/status/1247408224841629697
Roni Shekhmous روني شيخموس,@RoniShekhmos,2020-04-07T18:35:03.000Z,#كورونا #COVID19 ,,😂,1,,2,['https://pbs.twimg.com/media/EVBX5xCX0AA2nlF?format=jpg&name=small'],https://twitter.com/RoniShekhmos/status/1247593749036793860
Abdul Aisha,@abdulaisha13,2020-04-07T00:33:44.000Z,"In der #Corona Zeit hat die Rollen geändert. 
في زمن الكورونا تبدلت الادوار 

#Covid_19 
#فيروس_كورونا 
#Deutschland 
#حدائق_منزلية 
#حديث_الصباح",,,1,,3,['https://pbs.twimg.com/media/EU9gZ8RWsAE90Zs?format=jpg&name=small'],https://twitter.com/abdulaisha13/status/1247321626615730180
Shiv Ranjan,@ShivRanjanIND,2020-04-08T14:08:06.000Z,"Responding to Prime Minister Shri Narendra Modi’s call, the country has united in tackling COVID-19. In this valiant battle for humanity’s future, Corona Warriors are at the forefront. I salute their grit and determination. Join. #ThankYouCoronaWarriors  https://thankyou.bjp.org/message?id=1586354843217…",,,,,,[],https://twitter.com/ShivRanjanIND/status/1247888956579917824
feyruz,@MarbleBussines,2020-04-08T08:01:33.000Z,"Turkey President send  Medical equipments mask ,overalls........      Air Plane full today to Serbia , Bosna Herzegowina, Makedonya and Kosovo hope other countries will do it also Well done Turkey #COVID19de
#COVID19 #italy #Spain #Maske #CoronaVirusDE # https://instagram.com/p/B-tersEp1N9/?igshid=w3ozi65k1hjo…",,,,,2,[],https://twitter.com/MarbleBussines/status/1247796712904613890
OLAMIREWAJU AYODELE-YUSUF ISIDACHOME,,2020-04-08T14:47:37.000Z,"In light of the #covi̇d19 lockdown, I stopped eating much whilst at home  so as to lose weight. Boom irriz-Warri-Rizz. 
#stayhome 
#staysafe 
#stayhealthy @ Cologne, Germany https://instagram.com/p/B-uUkuUopXb/?igshid=18djrxrmleso9…",,🛫 🛬 🏠 💥,,,,[],https://twitter.com/Olamirewaju22/status/1247898899399864323
Christoph Burkhardt,@chburkhardt,2020-04-08T05:45:17.000Z,"Higher levels of #AirPollution dramatically accelerate the devastating effects of #Covid19 - stay healthy indoors, clear your indoor air https://nytimes.com/2020/04/07/climate/air-pollution-coronavirus-covid.html…","John Englart EAM
@takvera
 · 7. Apr. 2020
New research from Harvard University Medical school: “statistically significant link between pollution and coronavirus deaths. “ #covid19 #coronavirus 
New Research Links Air Pollution to Higher Coronavirus Death Rates - The New York Times https://nytimes.com/2020/04/07/climate/air-pollution-coronavirus-covid.html…",🌏 💦,,1,,['https://pbs.twimg.com/profile_images/1340289670236663808/Rpx6DfyH_mini.jpg'],https://twitter.com/chburkhardt/status/1247762417838252040
BENOS ANGAKA BONYOMA,@ANGAKABENOS,2020-04-08T16:07:53.000Z,UN MESSAGE DU PROF. DIDIER RAOULT AUX AFRICAINS. SELON SES PROPOS TOUS LES ANTI-PALUDISMES SONT EFFICACES CONTRE COVID-19.     ,,👇 👇 👇 👇 👇 👇 👇 👇 👇 👇,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1247919048639287300/pu/img/UEWLoxv-ssH15s38.jpg'],https://twitter.com/ANGAKABENOS/status/1247919100732440576
