,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2020-11-24,test,antigentests,antigentest,liste,prozent,falsch,sensitivität,schule,studie,moment
2020-12-01,patient,ambulanz,symptom,virus,tag,atemwegsinfektion,beschwerde,müdigkeit,kopfschmerz,frau
2020-12-08,leopoldina,schule,klasse,zellen,vorstellung,asymptomatischen,hälfte,weihnachten,beispiel,virus
2020-12-15,test,medikament,abstrich,infektion,geruch,studie,beispiel,weihnachten,lehrer,tag
2021-01-05,virus,mutation,variante,schule,mutante,stelle,protein,antikörper,woche,impfstoff
2021-01-12,impfstoff,impfung,dosis,variante,mutation,virus,woche,nebenwirkung,beispiel,datum
2021-01-19,mutante,variante,immunescape,mutation,prozent,modell,virus,woche,,wert
2021-01-26,variante,antikörper,mutation,reinfektion,virus,plasma,viruslast,patient,beispiel,studie
2021-02-02,kind,quartal,virus,impfstoff,impfung,treiber,zahl,million,schule,bevölkerung
2021-02-09,impfstoff,vektor,antikörper,impfung,variante,adenovirus,studie,prozent,infektion,antigen
2021-02-16,mutante,vakzine,impfung,impfstoff,studie,astra,dosis,datum,mutanten,patient
2021-02-23,test,infektion,impfung,variante,beispiel,impfstoff,tag,these,frettchen,studie
2021-03-02,virus,vakzine,dosis,impfung,variante,impfstoff,individualschutz,astra,zulassung,zelle
2021-03-09,blutgruppe,frau,mann,zelle,virus,infektion,ivermectin,brille,auge,rsv
2021-03-16,virus,zellen,mutante,impfung,zell,patient,vakzine,thrombose,prozent,risiko
2021-03-23,heparin,hit,sinusvenenthrombose,thrombose,thrombozyten,impfung,patient,blutplättchen,kind,bauchschmerzen
2021-03-30,modellprojekt,virus,wissenschaftsleugnung,welle,dauerwelle,motiv,prozent,argument,immunescape,modellversuch
2021-04-06,impfung,beispiel,impfstoff,prozent,woche,kind,mobilität,antikörper,uhr,mitarbeiter
2021-04-13,zellen,virus,patient,prozent,infektion,antigentest,dosis,variante,genesenen,tag
2021-04-20,vitamin,impfung,sinusvenenthrombosen,million,dosis,thrombose,impfstoff,fall,uv,risiko
2021-04-27,impfung,ig,prozent,antikörper,iga,virus,kind,variante,schleimhaut,bevölkerung
2021-05-04,impfung,kind,impfstoff,myokarditis,prozent,beschwerde,frau,antikörper,dosis,adenovirus
2021-05-11,impfung,impfstoff,kind,auffrischungsimpfung,dosis,prozent,variante,virus,bevölkerung,immunescape
2021-05-18,variante,impfung,gürtelrose,operation,mutation,prozent,impfstoff,antikörper,pandemie,schlüsselmutation
2021-05-25,viruslast,virus,infektiosität,viruslastgipfel,kind,impfung,prozent,patient,zahl,auto
